0,alone,feeling you get when you feel that there is no one there to support you
0,alone,feeling you get when you feel that there is no one there to love you
0,alone,when there is no one in the same room as you
0,alone,what i am on the inside even in a large crowd
0,alone,to literally be in the presence of no other person
0,alone,to be surrounded by people but take no interest in you
0,alone,intense feelings of hopelessness and depression
0,alone,feeling commonly associated with the inability to make friends
0,aesthetic,relating to something that looks good or pleasing to the eye
0,aesthetic,combination of things that are pleasing to look at
0,activist,someone who gets involved and takes action
0,activist,being actively involved in community and society
0,activist,people who care about a certain issue
0,accounting,profession which duties include writing financial statements and shredding documents
0,agriculture,industry that feeds everybody else
0,adventure,something that sounds like a bad idea but is actually exciting
0,adventure,you get a flat and you dont have a spare
0,adventure,youre fishing and your boat sinks
0,adventure,any old thing thats exiting
0,accelerate,to increase the velocity of something
0,accelerate,to speed something up 
0,accelerate,to step on the gas
0,athlete,someone who dedicates their time to pursue a sport
0,alternative,a genre of music 
0,alternative,another thing most people listen to
0,alternative,being yourself and not letting others tell you how to act
0,anxiety,a small word which can describe a large set of emotions 
0,anxiety,feeling worried frightened or scared 
0,anxiety,just a part of life that everybody experiences
0,anxiety,feeling taken over by bad feelings
0,anxiety,feelings of terror that strike suddenly and repeatedly
0,arm,upper body limb on a human 
0,arm,some kind of gun
0,achieve,to perform or carry out with success
0,achieve,to attain with effort or difficulty 
0,african,the languages or cultures of africa 
0,african,someone who lives or is from africa
0,african,someone who has ancestry from the continent of africa
0,atmosphere,celestial ride of funky beats and killa lyrics
0,attitude,position of the body or manner of carrying oneself 
0,attitude,state of mind or a feeling
0,attitude,arrogant or hostile state of mind or disposition 
0,attitude,orientation of an aircraft relative to the horizon
0,attitude,someone who thinks of themselves too highly
0,accident,something someone did that they didnt mean to do
0,accident,an unintended mistake of some kind
0,afternoon,the time of the day that is twelve oclock
0,appoint,to be given a job or something to do
0,alley,a dark place between two walls
0,alley,a dark place between two buildings
0,agenda,timetable schedule or routine
0,agenda,plans for certain time
0,agenda,what you are going to do
0,associate,to be together with another person or group as friends partners
0,associate,to enjoy each others company in pastime activities
0,album,antiquated means of distributing music tracks
0,album,set of music from the same or related artists
0,album,compact disc with multiple ordered tracks
0,album,cassette tape with multiple ordered tracks
0,album,vinyl disc with multiple ordered tracks
0,alliance,people or groups that work together
0,awful,extremely bad or unpleasant terrible
0,animal,a mammal with four legs
0,animal,anything alive but not a person
0,aggressive,unprovoked offensives attacks toward another 
0,aggressive,menacing acts against a neighboring country
0,aggressive,making an all out effort to win or succeed 
0,aggressive,vigorously energetic salesperson
0,aggressive,boldly assertive forward or pushy
0,aggressive,emphasizing maximum growth and capital gains
0,art,to communicate a message without words
0,art,imitation of the original idea
0,advertising,to make others aware of something you have
0,awareness,to make a difference by teaching others
0,access,to have entry to a particular place or thing
0,access,to get something without being stopped or prohibited
0,actor,someone who works as a bartender waiter or waitress
0,actor,someone who plays a role in a story
0,abstract,an idea that is hidden
0,abstract,when someone thinks out of the box
0,advice,help with something from experience
0,advice,specific useful experience 
0,advice,something parents give without asking
0,love,something parents give without asking
0,money,something parents give without asking
14463,add,while the term add or attention deficit disorder has become increasingly popular among laypersons adhd or attention deficithyperactivity disorder is the only clinically diagnosed term for disorders characterized by inattention hyperactivity and impulsivity used in the american psychiatric association’s diagnostic and statistical manual of mental disorder fourth edition there are actually three different types of adhd each with different symptoms predominantly inattentive predominant
14531,accent,accent is a combination of three main components intonation speech music liaisons word connections and pronunciation the spoken sounds of vowels consonants and combinations accents are influenced by a people’s geographical region of origin their age social background and education and whether they have moved away from their home area nowadays it may also be influenced by external factors such radio or television amongst speakers of english as an additional language accent
15198,asleep,1 to be in a state of sleep sleep being the unconsious state our body is in while it replenishes energy
15199,asleep,the most vulnerable state in which you will ever observe the vast majority of people when we are asleep is the only time we will ever truly bare the soul also aside from daydreams it is the only state in which we can experience dreams and as such is a viable source of insight and advice on our lives if we can interpret it
15205,attraction,1a person or thing that catches the attention of another being 2the magnetic force that pulls two people together regardless of their own will 3easy to avoid but impossible to ignore
15542,attorney,a person who after at least three years of intense post graduate studies must pass a very difficult proficiency exam the bar exam in most states in order to do someting as simple as defend a person against a dwi charge of course this moron that is charged with the dwi is probably the same person who wrote the definition of attorney as assmonkey because this human stain has no idea and only subscribes to juvenilecomedic groupthink what most attorneys go through to be zealous advocat
16198,abortion,to kill a child before it becomes an inconvience
16225,anger,noun usually military term an officially recognized state of hostility or war between two or more belligerents often expressed as the phrase in anger now commonly used to describe any state of conflict between opposing parties
16226,anger,1 a pronoun refering to anything that makes you angry 2 a person which is not on your good side at the moment
16516,angry,how i felt when i saw only one definition for angry angry is an emotion that highly contrasts and disagrees with the emotion happy someone feeling angry will usually have a lack of joy a lack of judgement a sense of inbred hate and overall frustration the image of someone being angry is usually accompanied by violence a frown the furrowing of the eyebrows and sometimes growling
16855,architecture,a course where students slave over countless hours of work to hopefully receive a c it is also expected that most of the students will switch into a more fulfilling major that is easier
16989,alive,the state of having a hightened sense of self usually during an incredible experience that revives ones inner spirit
17055,accept,something everyone in the world needs to do a lot more of
